periodico,news_date,year,month,day,page,ed,evento,event_code,ubicacion,has_sequia,agrocultura,ganaderia,hidrologia,energia,latitud,longitud
extremadura,18/09/1923,1923,9,18,1,,Calor,S,Casas de Don Antonio,True,1,0,0,0,39.23584424716719,-6.291346324578782
extremadura,21/09/1923,1923,9,21,2,,,,,False,0,0,0,0,,
extremadura,06/10/1923,1923,10,6,3,,,,,False,0,0,0,0,,
extremadura,10/10/1923,1923,10,10,3,,Lluvia,F,Aldeanueva del Camino,True,0,0,0,0,40.25935163824006,-5.930394923796403
extremadura,07/06/1924,1924,6,7,4,,Sequía,S,Aldeanueva del Camino,True,1,0,0,0,40.25935163824006,-5.930394923796403
extremadura,10/06/1924,1924,6,10,3,,,,,False,0,0,0,0,,
extremadura,14/05/1925,1925,5,14,1,,Sequía,S,Coria,True,1,0,0,0,39.98807734718899,-6.536615926256122
extremadura,15/05/1925,1925,5,15,2,,,,,False,0,0,0,0,,
extremadura,26/09/1926,1926,9,26,1,,,,,False,0,0,0,0,,
extremadura,28/09/1926,1926,9,28,5,,Sequía,S,Extremadura,True,0,1,0,0,,
extremadura,11/10/1926,1926,10,11,1,,Sequía,S,Cáceres,True,0,0,0,0,39.47753910519658,-6.377428325189714
extremadura,30/10/1926,1926,10,30,4,,,,,False,0,0,0,0,,
extremadura,06/04/1929,1929,4,6,4,,,,,False,0,0,0,0,,
extremadura,10/04/1929,1929,4,10,2,,,,,False,0,0,0,0,,
extremadura,10/04/1929,1929,4,10,3,,,,,False,0,0,0,0,,
extremadura,10/04/1929,1929,4,10,4,,,S,Ceclavín,True,1,0,0,0,39.82256665830346,-6.772740417050985
extremadura,11/04/1929,1929,4,11,1,,,,,False,0,0,0,0,,
extremadura,11/04/1929,1929,4,11,4,,Lluvia,F,Aliseda,True,0,0,0,0,39.423077972418,-6.694034836374631
extremadura,12/04/1929,1929,4,12,1,,,,,False,0,0,0,0,,
extremadura,12/04/1929,1929,4,12,2,,,,,False,0,0,0,0,,
extremadura,12/04/1929,1929,4,12,4,,Nieve,F,Garrovillas de Alconétar,True,0,0,0,0,39.710601150536334,-6.550028984680883
extremadura,13/04/1929,1929,4,13,4,,Lluvia,S,Navas del Madroño,True,0,0,0,0,39.62227900373277,-6.653402851935974
extremadura,16/04/1929,1929,4,16,1,,Lluvia,S,Cáceres,True,0,0,0,0,39.47753910519658,-6.377428325189714
extremadura,18/04/1929,1929,4,18,4,,Sequía,S,Torrejoncillo,True,0,0,0,0,39.89735427146394,-6.467041427683078
extremadura,19/04/1929,1929,4,19,3,,,,,False,0,0,0,0,,
extremadura,19/04/1929,1929,4,19,4,,Sequía,S,Don Benito,True,0,0,0,0,38.95620783267387,-5.859801918815306
extremadura,22/04/1929,1929,4,22,1,,,,,False,0,0,0,0,,
extremadura,23/04/1929,1929,4,23,4,,,,,False,0,0,0,0,,
extremadura,24/04/1929,1929,4,24,3,,,,,False,0,0,0,0,,
extremadura,24/04/1929,1929,4,24,4,,,,,False,0,0,0,0,,
extremadura,25/04/1929,1929,4,25,4,,Lluvia,S,Garciaz,True,0,0,0,0,39.41281517332435,-5.628272506215836
extremadura,26/04/1929,1929,4,26,6,,Sequía,S,Navas del Madroño,True,1,0,0,0,39.62227900373277,-6.653402851935974
extremadura,30/04/1929,1929,4,30,4,,Lluvia,N,Navas del Madroño,True,0,0,0,0,39.62227900373277,-6.653402851935974
extremadura,30/04/1929,1929,4,30,8,,,S,Torrejoncillo,True,0,0,0,0,39.89735427146394,-6.467041427683078
extremadura,02/05/1929,1929,5,2,4,,,,,False,0,0,0,0,,
extremadura,04/05/1929,1929,5,4,4,,,S,Sierra de Fuentes,True,0,0,0,0,39.43842582975502,-6.272247239888582
extremadura,14/10/1929,1929,10,14,2,,Sequía,S,Badajoz,True,0,0,0,0,38.871034753836994,-6.975421049278072
extremadura,14/10/1929,1929,10,14,3,,,,,False,0,0,0,0,,
extremadura,01/11/1929,1929,11,1,3,,,,,False,0,0,0,0,,
extremadura,13/11/1929,1929,11,13,3,,Lluvia,F,Badajoz,True,0,1,0,0,38.871034753836994,-6.975421049278072
extremadura,27/03/1930,1930,3,27,3,,,,,False,0,0,0,0,,
extremadura,27/03/1930,1930,3,27,4,,Lluvia,F,Navas del Madroño,True,0,0,0,0,39.62227900373277,-6.653402851935974
extremadura,02/05/1930,1930,5,2,3,,,,,False,0,0,0,0,,
extremadura,02/05/1930,1930,5,2,4,,Sequía,S,Guijo de Coria,True,0,0,0,0,40.10079553515424,-6.463317632474197
extremadura,11/04/1933,1933,4,11,2,,Sequía,S,Cáceres,True,0,0,0,0,39.47753910519658,-6.377428325189714
hoy,16/04/1933,1933,4,16,7,BAD,Sequía,S,Castuera,True,0,0,0,0,38.72435378925819,-5.545060273541743
